Colorectal Cancer, Prevalence,Next Disease,Prevalence
Cardiac dysrhythmia,(14.2%) (Fu et al. 2011),,
Coronary artery disease,(13.5%) (Fu et al. 2011),,
Congestive heart failure,(7.2%) (Fu et al. 2011),,
Arterial thromboembolism,(6.2%) (Fu et al. 2011),,
Venous thromboembolism,(4.6%) (Fu et al. 2011),,
Digestive system disorders,(29%) (Fu et al. 2011),,
History of bleeding,(28.3%) (Fu et al. 2011),,
Gastric disease,(11.4-12.4%) (Gheybi et al. 2020),,
Previous cancers,(De Marco et al. 2000),,
Anemia,(9.1% in younger patients) (Gheybi et al. 2020),,
Ischemic heart disease,(6.2%) (Fu et al. 2011),,
Renal failure and insufficiency,(Fu et al. 2011),,
Respiratory diseases,(Fu et al. 2011),,
Diseases of the skin and subcutaneous tissue,(Fu et al. 2011),,
Cerebrovascular males,(Qiu et al. 2023),,
Atherosclerosis males ,(Qiu et al. 2023),,
Heart failure males ,(Qiu et al. 2023),,
Renal failure males ,(Qiu et al. 2023),,
Osteoporosis females ,(Qiu et al. 2023),,
Gonoarthrosis females,(Qiu et al. 2023),,
Renal failure males ,(Qiu et al. 2023),,
Osteoporosis females ,(Qiu et al. 2023),,
Gonoarthrosis females,(Qiu et al. 2023),,
